Round I Urban EZs (6),Round I Rural EZs (3),Round I Urban ECs (65),Round I Supplemental Empowerment Zones (2),Round I Enhanced Enterprise Communities (4),Round I Rural ECs (30),Round II Urban EZs (15),Round II Rural EZs (5),Round II Rural ECs (20),Round III Urban EZs (8),Round III Rural EZs (2),Urban RCs (28),Rural RCs (12)
"Atlanta, GA","Kentucky Highlands, KY","Akron, OH","Cleveland, OH","Boston, MA","Accomack and Northampton County, VA","Boston, MA","Desert Communities, CA","Allendale ALIVE, SC","Fresno, CA","Aroostook County, ME","Atlanta, GA","Burlington, VT"
"Baltimore, MD","Mid-Delta, MS","Albany, GA","Los Angeles, CA","Houston, TX","Arizona Border Region, AZ","Cincinnati, OH","Griggs-Steele, ND","Bowling Green, KY","Jacksonville, FL","Futuro, TX","Buffalo-Lackawanna, NY","Central Louisiana, LA"
"Chicago, IL","Rio Grande Valley, TX","Albany/Schenectady/Troy, NY",,"Kansas City, MO/Kansas City, KS","Beadle/Spink Counties, SD","Columbia/Sumter, SC","Oglala Sioux Tribe, SD","City of Deming, NM","Oklahoma City, OK",,"Camden, NJ","Eastern Kentucky, KY"
"Detroit, MI",,"Albuquerque, NM",,"Oakland, CA","Central Appalachia, WV","Columbus, OH","Southernmost Illinois Delta, IL","Clare County, MI","Pulaski County, AR",,"Charleston, SC","El Paso County, TX"
"New York, NY",,"Birmingham, AL",,,"Central Savannah River Area, GA","Cumberland County, NJ","Southwest Georgia United, GA","Clinch-Powell, TN","San Antonio, TX",,"Chattanooga, TN","Greene-Sumter, AL"
"Philadelphia, PA/Camden, NJ",,"Boston, MA",,,"Chambers County, AL","El Paso, TX",,"Empower Lewiston, ME","Syracuse, NY",,"Chicago, IL","Jamestown, NY"
,,"Bridgeport, CT",,,"City of East Prairie, MO","Gary/Hammond/East Chicago, IN",,"Empowerment Alliance of Southwest Florida, FL","Tucson, AZ",,"Corpus Christi, TX","Northern Louisiana, LA"
,,"Buffalo, NY",,,"City of Lock Haven, PA","Ironton, OH/Huntington, WV",,"Fayette, PA","Yonkers, NY",,"Detroit, MI","Orange Cove, CA"
,,"Burlington, VT",,,"City of Watsonville, CA","Knoxville, TN",,"Five Star, WA",,,"Flint, MI","Parlier, CA"
,,"Charleston, SC",,,"Crisp/Dooly County, GA","Miami/Dade County, FL",,"Fort Peck Assiniboine & Sioux Tribe, MT",,,"Hamilton, OH","Southern Alabama, AL"
,,"Charlotte, NC",,,"East Arkansas, AR","Minneapolis, MN",,"Four Corners, AZ",,,"Lawrence, MA","Turtle Mountain Band of Chippewa, ND"
,,"Cleveland, OH",,,"Fayette/Haywood County, TN","New Haven, CT",,"FUTURO Communities, TX",,,"Los Angeles, CA","West-Central Mississippi, MS"
,,"Columbus, OH",,,"Greater Portsmouth, OH","Norfolk/Portsmouth, VZ",,"Huron-Tule, CA",,,"Lowell, MA",
,,"Dallas, TX",,,"Greene-Sumter, AL","Santa Ana, CA",,"Metlakatla Indian Community, AK",,,"Memphis, TN",
,,"Denver, CO",,,"The Halifax/Edgecombe/Wilson Empowerment Alliance, NC","St. Louis, MS/East St. Louis, IL",,"Molokai, HI",,,"Milwaukee, WI",
,,"Des Moines, IA",,,"Imperial County, CA",,,"Northwoods NiiJii, WI",,,"Mobile, AL",
,,"East St. Louis, IL",,,"Jackson County, FL",,,"Town of Austin, IN",,,"New Orleans, LA",
,,"El Paso, TX",,,"Josephine County, OR",,,"Tri-County Indian Nations, OK",,,"Newark, NJ",
,,"Flint, MI",,,"La Jicarita, NM",,,"Upper Kanawha, WV",,,"Niagara Falls, NY",
,,"Harrisburg, PA",,,"Lake County, MI",,,"Wichita County, KS",,,"Ouachita Parish, LA",
,,"Houston, TX",,,"Lower Yakima County, WA",,,,,,"Philadelphia, PA",
,,"Huntington, WV",,,"Macon Ridge, LA",,,,,,"Rochester, NY",
,,"Indianapolis, IN",,,"McDowell County, WV",,,,,,"San Diego, CA",
,,"Jackson, MS",,,"Mississippi County, AR",,,,,,"San Francisco, CA",
,,"Kansas City, MO/Kansas City, KS",,,"North Delta Mississippi, MS",,,,,,"Schenectady, NY",
,,"Las Vegas, NV",,,"Northeast Louisiana Delta, LA",,,,,,"Tacoma, WA",
,,"Little Rock/Pulaski, AR",,,"Robeson County, NC",,,,,,"Yakima, WA",
,,"Los Angeles, CA",,,"Scott, Tennessee/McCreary, KY",,,,,,"Youngstown, OH",
,,"Louisville, KY",,,"Southeast Oklahoma, OK",,,,,,,
,,"Lowell, MA",,,"Williamsburg-Lake City, SC",,,,,,,
,,"Manchester, NH",,,,,,,,,,
,,"Memphis, TN",,,,,,,,,,
,,"Miami/Dade County, FL",,,,,,,,,,
,,"Milwaukee, WI",,,,,,,,,,
,,"Minneapolis, MN",,,,,,,,,,
,,"Muskegon, MI",,,,,,,,,,
,,"Nashville/Davidson, TN",,,,,,,,,,
,,"New Haven, CT",,,,,,,,,,
,,"New Orleans, LA",,,,,,,,,,
,,"Newark, NJ",,,,,,,,,,
,,"Newburgh/Kingston, NY",,,,,,,,,,
,,"Norfolk, VA",,,,,,,,,,
,,"Oakland, CA",,,,,,,,,,
,,"Ogden, UT",,,,,,,,,,
,,"Oklahoma City, OK",,,,,,,,,,
,,"Omaha, NE",,,,,,,,,,
,,"Ouachita Parish, LA",,,,,,,,,,
,,"Phoenix, AZ",,,,,,,,,,
,,"Pittsburgh, PA",,,,,,,,,,
,,"Portland, OR",,,,,,,,,,
,,"Providence, RI",,,,,,,,,,
,,"Rochester, NY",,,,,,,,,,
,,"San Antonio, TX",,,,,,,,,,
,,"San Diego, CA",,,,,,,,,,
,,"San Francisco, CA",,,,,,,,,,
,,"Seattle, WA",,,,,,,,,,
,,"Springfield, IL",,,,,,,,,,
,,"Springfield, MA",,,,,,,,,,
,,"St. Louis, MO",,,,,,,,,,
,,"St. Paul, MN",,,,,,,,,,
,,"Tacoma, WA",,,,,,,,,,
,,"Tampa, FL",,,,,,,,,,
,,"Waco, TX",,,,,,,,,,
,,"Washington, DC",,,,,,,,,,
,,"Wilmington, DE",,,,,,,,,,